name	rc	note
ads-playbook	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
app-and-jang	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
app-architect	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
apple-canvas	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
autoloop	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
benchmark-skill	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
biz-skill	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
bp-guide	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
brand-campaign	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
ceo-pipeline	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
consulting-toolkit	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
contract-reviewer	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
copywriting-engine	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
data-analytics	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
delegate-llm	1	⚠️ 민감정보 발견 — STOP   False positive? → /Users/jason/github-repos/skill-repos/git-sync/scripts/secret-scan-allowlist.txt 에 정규식 추가 ❌ 민감정보 발견 — STOP 
fact-checker	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
financial-model	0	변경 없음 — 이미 최신 (G1, 미푸시 커밋도 없음)
